ipeds_id,name,map_x,map_y,cluster,cluster_name,total_applicants,acceptance_rate,yield_rate,male_applicants,acceptance_rate_male,female_applicants,acceptance_rate_female,selectivity_zone_general,selectivity_zone_cs_eng,selectivity_zone_econ_biz,selectivity_zone_premed,sat_25_overall,sat_75_overall,sat_english_25,sat_english_75,sat_math_25,sat_math_75,act_25,act_75,act_english_25,act_english_75,act_math_25,act_math_75,undergrad_enrollment,grad_enrollment,pct_white,pct_international,scholarship_recipients,pct_scholarship,tuition_fees,room_board,total_expenses,salary_10yr,sports_revenue,sports_expenses,total_athletes,pct_athletes,female_athletes,male_athletes,Accounting & Finance,Agriculture,Anatomy & Physiology,Anthropology,Archaeology,Architecture,Art & Design,Arts & Humanities,Biology,Business,Chemistry,Computer Science,Earth Sciences,Economics,Education,Engineering,Engineering (Chemical),Engineering (Civil),Engineering (Electrical),Engineering (Mechanical),English,Environmental Science,Film & Media,Geography,Global,History,Languages,Law,Liberal Arts,Materials Science,Mathematics,Medicine,Natural Sciences,Nursing,Pharmacy,Philosophy,Physics,Political Science,Pre-Med,Psychology,Public Health,Public Policy,Religious Studies,Social Sciences,Sociology,Sports,USA Overall
100663,University of Alabama at Birmingham,-0.8889,6.8596,6,Mid-tier regional privates,-0.50497,1.31843,-0.30411,-0.89135,1.26672,-0.77318,1.32391,0.70475,0.68764,0.72348,0.74225,-0.63721,-0.46114,-0.72407,-0.80868,-0.78511,-0.42258,-1.14785,-0.76288,-0.85326,-0.04036,-1.22172,-0.96001,-0.48129,-1.16087,0.15708,-0.79808,-0.11192,1.04263,-1.69316,-0.6527,-1.51774,-1.36251,-0.34148,-0.31303,-0.54144,-0.35137,-0.51555,-0.53813,0.14569,0.1381,0.07154,0.10879,-0.01022,0.1397,0.01205,0.17261,0.32861,0.11494,0.15691,0.18462,-0.03942,0.05796,0.10857,0.41514,0.10104,-0.00498,0.12053,-0.04384,0.03394,0.10185,0.2218,0.01218,-2.09653,0.00457,0.18823,0.08227,0.16004,0.03883,0.11294,0.7316,0.06266,-0.07766,0.07518,0.0527,0.13677,0.05472,0.00775,0.17064,0.09665,0.01198,0.0028,0.08267,0.18032,0.02464,-0.11754
100751,The University of Alabama,-3.6767,11.8694,7,"Large publics, weaker academics",0.35588,1.08957,-0.69533,0.61703,1.12997,1.07896,1.0314,0.98747,0.99049,1.00765,1.02997,-1.29129,-0.62099,-1.50096,-0.80868,-1.40964,-0.73844,-1.60173,-0.41273,-1.28405,-0.04036,-1.76152,-0.96001,1.21666,-0.13604,1.48546,-1.18863,1.49695,0.18738,-1.0044,-0.08244,-0.80104,-1.12934,2.31605,2.23229,0.43707,-0.37528,0.75598,0.17414,-0.52756,0.1381,0.07154,0.10879,-0.01022,0.1397,0.01205,0.17261,0.19576,-2.49611,-2.23922,-2.29015,-0.03942,-1.56039,0.10857,-2.82889,0.10104,-0.00498,-3.3463,-2.37803,0.03394,-2.00435,0.17422,0.01218,-1.75342,0.00457,0.18823,0.08227,0.16004,-2.27726,0.11294,-1.45887,0.06266,-1.77699,0.07518,0.0527,-1.57798,0.05472,0.00775,0.17064,0.09665,0.01198,0.0028,-2.37456,0.18032,0.02464,-1.9947
100858,Auburn University,1.8174,4.6114,4,Big-sports state universities,0.19242,-0.02205,-0.41588,0.36684,-0.03245,0.69631,-0.17114,1.27019,1.29335,1.29182,1.3177,-0.08473,-0.44338,-0.18171,-0.59641,-0.16057,-0.56296,-0.46703,-0.41273,0.00832,0.29379,0.12778,0.04364,0.72597,-0.17095,1.832,-0.60281,0.66627,-0.16478,-0.94328,-0.09789,-0.74731,-0.76491,1.99436,1.70384,-0.11731,-0.38863,-0.00694,-0.19647,-1.3548,-1.83579,0.07154,0.10879,-0.01022,1.27684,0.01205,0.17261,-1.78648,0.11494,0.15691,0.18462,-0.03942,-1.88154,0.10857,0.41514,0.10104,-0.00498,0.12053,-1.44435,0.03394,0.10185,0.2218,0.01218,-1.11729,0.00457,0.18823,0.08227,0.16004,0.03883,-2.21437,0.12843,0.06266,-0.07766,0.07518,0.0527,0.13677,0.05472,0.00775,0.17064,0.09665,0.01198,0.0028,0.08267,0.18032,0.02464,-1.03765
104151,Arizona State University,5.452,-1.4221,3,Mega public flagships,0.643,1.41652,-0.35999,1.6607,1.43766,1.22912,1.38891,0.42203,0.68764,0.15513,0.45452,-1.10078,-1.06502,0.11146,0.25267,0.02679,0.31441,0.21378,0.28756,0.00832,0.29379,0.12778,0.04364,3.56797,1.12483,-0.24721,-0.21226,4.83828,0.84139,-1.06187,-0.28497,-0.884,-0.864,0.82802,0.95996,0.31685,-0.54273,0.42688,0.22047,0.34975,-0.95459,0.07154,0.86425,2.80076,-1.03552,-1.39333,0.78726,0.32861,0.97237,0.32172,0.87331,1.26424,0.64699,1.2023,0.47248,-0.55958,-1.61486,0.8139,0.88983,0.51497,1.21392,0.07907,1.98234,1.29445,0.00457,-1.69676,-0.73258,0.16004,0.61785,0.18872,-0.18903,0.70328,-1.77699,0.07518,0.0527,0.7828,0.23237,-2.51895,1.10451,0.09665,-0.60822,0.0028,0.62543,-0.67538,-2.98172,-0.02011
104179,University of Arizona,-2.8995,8.0448,7,"Large publics, weaker academics",0.43913,1.29031,-0.72957,0.77012,1.3351,0.80726,1.2914,0.42203,0.38479,0.4393,0.45452,-0.97377,-0.62099,-1.2078,-0.80868,-1.03492,-0.73844,-1.60173,-1.11302,-1.49944,-1.37693,-1.49162,-0.96001,2.0084,0.67043,-0.07394,-0.40753,1.53523,0.99232,-0.69588,-0.33389,-0.55575,-0.89609,1.04614,1.12837,-0.27093,-0.50819,-0.29116,-0.24279,-3.00929,-0.03814,-3.20494,0.51171,2.76769,0.1397,0.01205,0.1876,0.32861,0.11345,-0.63863,-0.16702,1.26424,0.36651,0.10857,-1.30518,-1.88081,-3.22475,-1.21286,-0.04384,-0.26864,0.85165,-0.96759,0.01218,0.13418,0.00457,-1.69676,-1.54744,0.16004,-1.11922,-1.01283,0.44588,0.61553,-0.07766,-0.40217,-1.35374,1.03658,-1.55479,0.00775,-0.31853,0.09665,0.01198,0.0028,-0.2726,-0.67538,0.02464,0.0985
105330,Northern Arizona University,1.3587,6.6908,6,Mid-tier regional privates,0.17607,1.08957,-0.863,0.10965,1.12997,0.85629,1.0639,1.83563,1.89906,1.86017,1.89315,0.04227,0.22266,0.11146,0.25267,0.02679,0.31441,0.21378,0.28756,0.00832,0.29379,0.12778,0.04364,0.35375,-0.29224,0.2726,-0.99336,1.26453,1.24386,-1.87602,-1.41348,-1.79905,-1.43833,-0.6332,-0.63057,-0.35776,-0.39772,-0.42579,-0.28912,0.14569,-1.83579,0.07154,0.10879,-0.01022,0.1397,0.01205,0.17261,0.19576,0.11494,0.15691,0.18462,-0.03942,0.05796,-2.24353,0.41514,0.10104,-0.00498,0.12053,-0.04384,-2.61947,-1.58311,0.2218,0.01218,-1.33963,0.00457,0.18823,0.08227,0.16004,0.03883,0.11294,0.12843,0.06266,-0.07766,0.07518,0.0527,0.13677,0.05472,0.00775,0.17064,0.09665,0.01198,0.0028,0.08267,0.18032,0.02464,-1.73351
110404,California Institute of Technology,4.6212,-7.322,5,Elite research universities,-0.4287,-1.44198,1.66519,-0.23288,-1.50257,-0.86014,-1.43868,-1.55701,-1.43234,-1.54991,-1.55955,1.62984,1.24392,0.11146,0.25267,0.02679,0.31441,0.21378,0.28756,0.00832,0.29379,0.12778,0.04364,-1.31187,-0.93518,-1.57558,0.1783,-1.11596,-0.91941,0.9836,1.20827,0.95291,2.0425,-0.97682,-1.00603,-1.17263,1.2482,-1.30838,-1.01876,1.22875,0.1381,0.07154,0.10879,-0.01022,0.1397,0.01205,-0.38208,1.45314,1.03649,1.55417,1.28334,2.43754,1.44451,0.10857,0.83293,1.92434,2.05568,1.84862,2.13162,0.03394,1.55828,0.2218,0.01218,1.94253,0.00457,0.18823,0.08227,0.16004,2.0654,1.67284,0.12843,1.99331,-0.07766,0.07518,0.0527,1.64716,0.05472,0.68801,0.17064,0.09665,0.01198,0.0028,0.77345,0.18032,0.02464,1.71706
110635,University of California-Berkeley,6.9122,-10.2447,5,Elite research universities,1.80225,-1.16636,0.81367,3.92047,-1.26325,3.53409,-1.11367,-1.27429,-1.43234,-1.54991,-1.27183,0.23278,0.79989,0.11146,0.25267,0.02679,0.31441,0.21378,0.28756,0.00832,0.29379,0.12778,0.04364,1.11681,0.87683,-1.6911,1.15467,0.53557,-1.02003,-0.04243,2.26426,0.43156,0.56734,1.01963,1.09838,1.40223,-0.32328,1.43662,1.32072,1.58663,1.54802,0.07154,2.45072,3.03225,1.98415,1.2908,1.85667,1.49972,1.51366,1.57338,1.39348,2.38539,1.61936,1.77856,0.80836,2.01683,3.1504,1.96596,2.19697,2.03047,1.7194,1.1971,3.79488,1.91681,2.1577,1.99781,2.42905,0.16004,2.26226,1.7485,1.53794,1.98453,-0.07766,0.07518,1.82503,1.63724,1.79938,-0.13802,1.70361,0.73176,2.01432,2.39136,2.007,1.84036,0.02464,1.66154
110644,University of California-Davis,4.8722,-3.4771,3,Mega public flagships,1.14943,-0.15283,-0.863,2.50302,-0.47691,2.36314,-0.20364,-0.42613,-0.52378,-0.41322,-0.40865,-0.71976,-0.35458,0.11146,0.25267,0.02679,0.31441,0.21378,0.28756,0.00832,0.29379,0.12778,0.04364,1.05647,0.07673,-1.6911,1.54522,0.76853,-0.66786,-0.0255,0.83539,0.23359,0.0893,-0.33636,-0.40062,0.21666,-0.41439,1.0402,-0.4281,-0.63285,1.67139,0.07154,0.10879,-1.66374,-2.39574,-1.33926,-0.19219,1.28141,-0.63214,0.99077,0.68223,1.26424,1.23398,0.10857,0.46429,0.86736,1.60491,0.38721,0.88983,0.51497,1.61199,0.45968,0.01218,1.15817,0.12378,-1.69676,0.08227,0.16004,0.03883,0.18872,1.00461,1.15962,-1.77699,0.07518,0.0527,0.99366,-0.43685,-1.59574,0.47268,0.09665,-3.18566,0.0028,0.11227,-0.67538,0.02464,1.17221
110653,University of California-Irvine,4.5829,-3.277,3,Mega public flagships,1.62631,-0.57786,-0.69533,3.45051,-0.95555,3.29362,-0.78866,-0.99157,-1.12949,-0.98157,-0.9841,-0.27524,-0.08816,0.11146,0.25267,0.02679,0.31441,0.21378,0.28756,0.00832,0.29379,0.12778,0.04364,0.89985,-0.03468,-2.15314,1.54522,1.26891,0.288,-0.07921,0.98986,0.20743,0.00472,-0.62383,-0.62037,-0.74516,-0.50937,-0.47067,-0.92611,-1.32349,0.1381,0.07154,-0.92367,-0.01022,0.1397,0.01205,0.3675,0.72016,-0.05207,0.44977,0.9317,-0.03942,0.71443,0.10857,0.57898,-0.55958,-1.61486,0.38721,-0.04384,0.79707,0.52308,0.67377,-1.95797,0.55864,-0.3272,-2.63925,0.89713,0.16004,0.03883,0.58923,0.57922,0.72961,-0.07766,-0.40217,0.25985,0.7828,-0.518,-0.86688,0.56518,1.26102,-1.6553,0.0028,-0.3022,0.84776,0.02464,0.97691
