ipeds_id,category,rank,max_rank,source,year
100663,Global,161,1028,USNews,2023
100663,USA Overall,306,601,Times,2022
100706,USA Overall,402,601,Times,2022
100751,Accounting & Finance,36,75,Niche,2022
100751,Archaeology,151,201,QS,2021
100751,Business,251,501,QS,2021
100751,Computer Science,501,601,QS,2021
100751,Education,301,301,QS,2021
100751,Engineering,451,501,QS,2021
100751,Engineering (Chemical),351,351,QS,2021
100751,Engineering (Electrical),401,451,QS,2021
100751,Engineering (Mechanical),401,451,QS,2021
100751,Film & Media,53,201,"Niche, QS",2022
100751,Global,801,1201,"QS, Times",2023
100751,Materials Science,351,351,QS,2021
100751,Physics,351,551,QS,2021
100751,Social Sciences,451,501,QS,2021
100751,USA Overall,401,601,Times,2022
100858,Accounting & Finance,49,75,Niche,2022
100858,Agriculture,201,351,QS,2021
100858,Architecture,8,49,CollegeVine,2022
100858,Biology,551,601,QS,2021
100858,Computer Science,601,601,QS,2021
100858,Engineering (Mechanical),451,451,QS,2021
100858,Global,579,1201,"QS, Times, USNews",2023
100858,Hospitality,51,51,QS,2021
100858,Mathematics,451,451,QS,2021
100858,USA Overall,284,601,Times,2022
102049,USA Overall,184,601,Times,2022
102094,Global,1001,1201,QS,2021
102094,USA Overall,601,601,Times,2022
102377,USA Overall,491,601,Times,2022
104151,Accounting & Finance,61,251,"CollegeVine, Niche, QS",2022
104151,Agriculture,101,351,QS,2021
104151,Anthropology,35,101,QS,2021
104151,Archaeology,11,201,QS,2021
104151,Architecture,101,201,QS,2021
104151,Arts & Humanities,190,451,QS,2021
104151,Biology,151,601,QS,2021
104151,Business,74,501,"Collegevine/Niche, QS",2022
104151,Chemistry,251,601,QS,2021
104151,Computer Science,61,601,"Collegevine/Niche, QS",2022
104151,Development Studies,50,51,QS,2021
104151,Earth Sciences,51,151,QS,2021
104151,Economics,103,451,"Collegevine/Niche, QS",2022
104151,Education,79,301,QS,2021
104151,Engineering,48,501,"Collegevine/Niche, QS",2022
104151,Engineering (Chemical),201,351,QS,2021
104151,Engineering (Civil),151,151,QS,2021
104151,Engineering (Electrical),151,451,QS,2021
104151,Engineering (Mechanical),151,451,QS,2021
104151,English,151,251,QS,2021
104151,Environmental Science,56,401,QS,2021
104151,Film & Media,57,201,"Collegevine/Niche, Niche, QS",2022
104151,Geography,51,151,QS,2021
104151,Global,156,1201,"QS, Times, USNews",2023
104151,History,151,151,QS,2021
104151,Hospitality,51,51,QS,2021
104151,Languages,151,301,QS,2021
104151,Law,151,301,QS,2021
104151,Materials Science,151,351,QS,2021
104151,Mathematics,101,451,QS,2021
104151,Medicine,251,601,QS,2021
104151,Natural Sciences,173,451,QS,2021
104151,Nursing,101,101,QS,2021
104151,Physics,251,551,QS,2021
104151,Political Science,67,210,"Collegevine/Niche, QS",2022
104151,Pre-Med,104,105,CollegeVine,2022
104151,Psychology,89,251,QS,2021
104151,Public Policy,51,101,QS,2021
104151,Social Sciences,147,501,QS,2021
104151,Sociology,151,315,QS,2021
104151,Sports,101,101,QS,2021
104151,USA Overall,214,601,Times,2022
104179,Accounting & Finance,251,251,QS,2021
104179,Agriculture,74,351,QS,2021
104179,Anatomy & Physiology,101,101,QS,2021
104179,Anthropology,40,101,QS,2021
104179,Archaeology,22,201,QS,2021
104179,Architecture,201,201,QS,2021
104179,Arts & Humanities,157,451,QS,2021
104179,Biology,201,601,QS,2021
104179,Business,251,501,QS,2021
104179,Chemistry,401,601,QS,2021
104179,Computer Science,251,601,QS,2021
104179,Earth Sciences,24,151,QS,2021
104179,Economics,151,451,QS,2021
104179,Education,151,301,QS,2021
104179,Engineering,265,501,QS,2021
104179,Engineering (Civil),151,151,QS,2021
104179,Engineering (Electrical),251,451,QS,2021
104179,Engineering (Mechanical),251,451,QS,2021
104179,Engineering (Mining),22,51,QS,2021
104179,English,151,251,QS,2021
104179,Environmental Science,101,401,QS,2021
104179,Film & Media,101,201,QS,2021
104179,Geography,51,151,QS,2021
104179,Global,108,1201,"QS, Times, USNews",2023
104179,Languages,67,301,QS,2021
104179,Law,201,301,QS,2021
104179,Library Science,26,47,QS,2021
104179,Mathematics,251,451,QS,2021
104179,Medicine,169,601,QS,2021
104179,Natural Sciences,149,451,QS,2021
104179,Nursing,101,101,QS,2021
104179,Pharmacy,101,301,QS,2021
104179,Philosophy,51,151,QS,2021
104179,Physics,151,551,QS,2021
104179,Psychology,101,251,QS,2021
104179,Social Sciences,238,501,QS,2021
104179,USA Overall,131,601,Times,2022
104586,USA Overall,306,601,Times,2022
105330,Archaeology,151,201,QS,2021
105330,Environmental Science,301,401,QS,2021
105330,Global,543,1201,"QS, USNews",2023
105330,Languages,151,251,QS,2021
105330,USA Overall,559,601,Times,2022
106397,Agriculture,201,351,QS,2021
106397,Biology,551,601,QS,2021
106397,Business,501,501,QS,2021
106397,Economics,451,451,QS,2021
106397,Global,601,1201,"QS, Times",2023
106397,Physics,551,551,QS,2021
106397,USA Overall,392,601,Times,2022
107044,USA Overall,601,601,Times,2022
107080,USA Overall,352,601,Times,2022
107141,USA Overall,337,601,Times,2022
107512,USA Overall,469,601,Times,2022
109651,Art & Design,20,75,Niche,2022
109651,Film & Media,24,75,Collegevine/Niche,2022
109785,USA Overall,327,601,Times,2022
110097,USA Overall,508,601,Times,2022
110361,USA Overall,601,601,Times,2022
110370,USA Overall,376,601,Times,2022
110404,Accounting & Finance,11,101,CollegeVine,2022
110404,Arts & Humanities,269,451,QS,2021
110404,Biology,11,601,"Niche, QS",2022
110404,Business,3,501,"Collegevine/Niche, QS",2022
110404,Chemistry,3,601,"Collegevine/Niche, QS",2022
110404,Computer Science,3,601,"Collegevine/Niche, QS",2022
110404,Earth Sciences,3,151,QS,2021
110404,Economics,7,451,"Collegevine/Niche, QS",2022
110404,Engineering,4,501,"Collegevine/Niche, QS",2022
110404,Engineering (Chemical),9,351,QS,2021
110404,Engineering (Civil),51,151,QS,2021
110404,Engineering (Electrical),13,451,QS,2021
110404,Engineering (Mechanical),17,451,QS,2021
110404,English,201,251,QS,2021
110404,Environmental Science,22,401,"Niche, QS",2022
110404,Global,6,1201,"QS, Times, USNews",2023
110404,Materials Science,25,351,QS,2021
110404,Mathematics,14,451,"Niche, QS",2022
110404,Medicine,122,601,QS,2021
110404,Natural Sciences,7,451,QS,2021
110404,Philosophy,151,151,QS,2021
110404,Physics,2,551,"Niche, QS",2022
110404,Pre-Med,38,105,CollegeVine,2022
110404,Social Sciences,132,501,QS,2021
110404,USA Overall,7,601,Times,2022
110413,USA Overall,368,601,Times,2022
110422,Global,857,1028,USNews,2023
110422,USA Overall,189,601,Times,2022
110486,USA Overall,409,601,Times,2022
110510,USA Overall,412,601,Times,2022
110529,Architecture,2,49,CollegeVine,2022
110529,USA Overall,344,601,Times,2022
110538,USA Overall,333,601,Times,2022
110556,Global,907,1028,USNews,2023
110556,USA Overall,337,601,Times,2022
110565,Global,767,1028,USNews,2023
110565,USA Overall,392,601,Times,2022
110574,USA Overall,410,601,Times,2022
110583,USA Overall,299,601,Times,2022
110592,USA Overall,411,601,Times,2022
110608,USA Overall,372,601,Times,2022
110617,USA Overall,377,601,Times,2022
110635,Accounting & Finance,8,251,"CollegeVine, QS",2022
110635,Agriculture,9,351,QS,2021
110635,Anthropology,4,101,"Niche, QS",2022
110635,Archaeology,6,201,QS,2021
110635,Architecture,7,201,"CollegeVine, QS",2022
110635,Art & Design,47,201,"Niche, QS",2022
110635,Arts & Humanities,4,451,QS,2021
110635,Biology,6,601,"Niche, QS",2022
110635,Business,13,501,"Collegevine/Niche, QS",2022
110635,Chemistry,5,601,"Collegevine/Niche, QS",2022
110635,Classics,13,51,QS,2021
110635,Computer Science,5,601,"Collegevine/Niche, QS",2022
110635,Development Studies,7,51,QS,2021
110635,Earth Sciences,7,151,QS,2021
110635,Economics,5,451,"Collegevine/Niche, QS",2022
110635,Education,8,301,QS,2021
110635,Engineering,7,501,"Collegevine/Niche, QS",2022
110635,Engineering (Chemical),4,351,QS,2021
110635,Engineering (Civil),4,151,QS,2021
110635,Engineering (Electrical),3,451,QS,2021
110635,Engineering (Mechanical),6,451,QS,2021
110635,English,4,251,"Collegevine/Niche, QS",2022
110635,Environmental Science,9,401,"Niche, QS",2022
110635,Film & Media,10,201,"Collegevine/Niche, Niche, QS",2022
110635,Geography,4,151,QS,2021
110635,Global,4,1201,"QS, Times, USNews",2023
110635,History,8,151,"Collegevine/Niche, QS",2022
110635,Languages,4,301,QS,2021
110635,Law,9,301,QS,2021
110635,Library Science,8,47,QS,2021
110635,Materials Science,8,351,QS,2021
110635,Mathematics,6,451,"Niche, QS",2022
110635,Medicine,20,451,QS,2021
110635,Natural Sciences,8,451,QS,2021
110635,Performing Arts,24,51,QS,2021
110635,Philosophy,17,151,"Niche, QS",2022
110635,Physics,6,551,"Niche, QS",2022
110635,Political Science,10,210,"Collegevine/Niche, Niche, QS",2022
110635,Pre-Med,55,105,CollegeVine,2022
110635,Psychology,5,251,"Collegevine/Niche, QS",2022
110635,Public Health,19,75,Niche,2022
110635,Public Policy,7,101,"Niche, QS",2022
110635,Religious Studies,18,101,QS,2021
110635,Social Sciences,7,501,QS,2021
110635,Sociology,4,315,QS,2021
110635,USA Overall,36,601,Times,2022
110644,Accounting & Finance,82,251,"CollegeVine, QS",2022
110644,Agriculture,2,351,QS,2021
110644,Anatomy & Physiology,51,101,QS,2021
110644,Archaeology,51,201,QS,2021
110644,Architecture,35,49,CollegeVine,2022
110644,Art & Design,55,74,Niche,2022
110644,Arts & Humanities,190,451,QS,2021
110644,Biology,45,601,"Niche, QS",2022
110644,Business,201,501,QS,2021
110644,Chemistry,49,601,"Collegevine/Niche, QS",2022
110644,Computer Science,65,601,"Collegevine/Niche, QS",2022
110644,Development Studies,39,51,QS,2021
110644,Earth Sciences,29,151,QS,2021
110644,Economics,50,451,"Collegevine/Niche, QS",2022
110644,Education,101,301,QS,2021
110644,Engineering,49,501,"Collegevine/Niche, QS",2022
110644,Engineering (Chemical),84,351,QS,2021
110644,Engineering (Civil),51,151,QS,2021
110644,Engineering (Electrical),151,451,QS,2021
110644,Engineering (Mechanical),151,451,QS,2021
110644,English,101,251,QS,2021
110644,Environmental Science,15,401,"Niche, QS",2022
110644,Film & Media,41,201,"Collegevine/Niche, Niche, QS",2022
110644,Geography,101,151,QS,2021
110644,Global,63,1201,"QS, Times, USNews",2023
110644,History,51,151,"Collegevine/Niche, QS",2022
110644,Languages,201,301,QS,2021
110644,Law,201,301,QS,2021
110644,Materials Science,151,351,QS,2021
110644,Mathematics,51,451,QS,2021
110644,Medicine,46,601,QS,2021
110644,Natural Sciences,85,451,QS,2021
110644,Nursing,101,101,QS,2021
110644,Physics,73,551,"Niche, QS",2022
110644,Political Science,60,94,Collegevine/Niche,2022
110644,Pre-Med,85,105,CollegeVine,2022
110644,Psychology,75,251,"Collegevine/Niche, QS",2022
110644,Public Policy,70,75,Niche,2022
110644,Social Sciences,199,501,QS,2021
110644,Sociology,151,315,QS,2021
110644,Sports,101,101,QS,2021
110644,USA Overall,40,601,Times,2022
110644,Veterinary Science,2,50,QS,2021
110653,Accounting & Finance,72,251,"CollegeVine, QS",2022
110653,Anatomy & Physiology,101,101,QS,2021
110653,Anthropology,42,101,"Niche, QS",2022
110653,Arts & Humanities,168,451,QS,2021
110653,Biology,66,601,"Niche, QS",2022
110653,Business,38,501,"Collegevine/Niche, QS",2022
110653,Chemistry,150,601,QS,2021
110653,Computer Science,53,601,"Collegevine/Niche, QS",2022
110653,Earth Sciences,51,151,QS,2021
110653,Economics,76,451,"Collegevine/Niche, QS",2022
110653,Education,101,301,QS,2021
110653,Engineering,35,501,"Collegevine/Niche, QS",2022
110653,Engineering (Chemical),201,351,QS,2021
110653,Engineering (Electrical),151,451,QS,2021
110653,Engineering (Mechanical),251,451,QS,2021
110653,English,66,251,"Collegevine/Niche, QS",2022
110653,Environmental Science,92,401,QS,2021
110653,Film & Media,32,201,"Collegevine/Niche, QS",2022
110653,Global,85,1201,"QS, Times, USNews",2023
110653,History,151,151,QS,2021
110653,Languages,201,301,QS,2021
110653,Law,101,301,QS,2021
110653,Materials Science,251,351,QS,2021
110653,Mathematics,151,451,QS,2021
110653,Medicine,132,601,QS,2021
110653,Natural Sciences,131,451,QS,2021
110653,Pharmacy,101,301,QS,2021
110653,Philosophy,51,151,"Niche, QS",2022
110653,Physics,127,551,QS,2021
110653,Political Science,72,210,"Collegevine/Niche, Niche, QS",2022
110653,Pre-Med,70,105,CollegeVine,2022
110653,Psychology,65,251,"Collegevine/Niche, QS",2022
110653,Public Health,14,75,Niche,2022
110653,Public Policy,51,75,Niche,2022
110653,Social Sciences,241,501,QS,2021
110653,Sociology,101,315,QS,2021
110653,USA Overall,87,601,Times,2022
110662,Accounting & Finance,16,251,"CollegeVine, QS",2022
110662,Anatomy & Physiology,9,101,QS,2021
110662,Anthropology,9,101,"Niche, QS",2022
110662,Archaeology,9,201,QS,2021
110662,Architecture,17,201,"CollegeVine, QS",2022
110662,Art & Design,9,201,"Niche, QS",2022
110662,Arts & Humanities,9,451,QS,2021
110662,Biology,9,601,"Niche, QS",2022
110662,Business,19,501,"Collegevine/Niche, QS",2022
110662,Chemistry,15,601,"Collegevine/Niche, QS",2022
110662,Classics,43,51,QS,2021
110662,Computer Science,17,601,"Collegevine/Niche, QS",2022
110662,Dentistry,25,60,QS,2021
110662,Development Studies,14,51,QS,2021
110662,Earth Sciences,13,151,QS,2021
110662,Economics,15,451,"Collegevine/Niche, QS",2022
110662,Education,12,301,QS,2021
110662,Engineering,19,501,"Collegevine/Niche, QS",2022
110662,Engineering (Chemical),24,351,QS,2021
110662,Engineering (Civil),49,151,QS,2021
