ipeds_id,category,rank,max_rank,source,year
166027.0,Accounting & Finance,1.0,251,"CollegeVine, QS",2022
215062.0,Accounting & Finance,1.0,251,"CollegeVine, Niche, QS",2022
166027.0,Accounting & Finance,1.0,301,QS,2025
152080.0,Accounting & Finance,2.0,251,"CollegeVine, Niche, QS",2022
166683.0,Accounting & Finance,2.0,251,"CollegeVine, QS",2022
166683.0,Accounting & Finance,2.0,301,QS,2025
131496.0,Accounting & Finance,3.0,251,"Niche, QS",2022
186131.0,Accounting & Finance,3.0,251,"CollegeVine, QS",2022
243744.0,Accounting & Finance,3.0,251,"CollegeVine, QS",2022
243744.0,Accounting & Finance,3.0,301,QS,2025
164924.0,Accounting & Finance,4.0,251,"CollegeVine, Niche, QS",2022
179867.0,Accounting & Finance,5.0,251,"CollegeVine, Niche, QS",2022
144050.0,Accounting & Finance,5.0,301,QS,2025
139959.0,Accounting & Finance,6.0,251,"CollegeVine, Niche, QS",2022
190150.0,Accounting & Finance,6.0,251,"CollegeVine, QS",2022
144050.0,Accounting & Finance,7.0,251,"CollegeVine, QS",2022
230038.0,Accounting & Finance,7.0,251,"CollegeVine, Niche, QS",2022
110635.0,Accounting & Finance,7.0,301,QS,2025
110635.0,Accounting & Finance,8.0,251,"CollegeVine, QS",2022
130794.0,Accounting & Finance,8.0,251,"CollegeVine, QS",2022
216597.0,Accounting & Finance,8.0,101,"CollegeVine, Niche",2022
198419.0,Accounting & Finance,9.0,251,"CollegeVine, QS",2022
228778.0,Accounting & Finance,9.0,251,"CollegeVine, Niche, QS",2022
215062.0,Accounting & Finance,9.0,301,QS,2025
134097.0,Accounting & Finance,10.0,251,"CollegeVine, Niche, QS",2022
190415.0,Accounting & Finance,10.0,251,"CollegeVine, QS",2022
193900.0,Accounting & Finance,10.0,251,"CollegeVine, QS",2022
130794.0,Accounting & Finance,10.0,301,QS,2025
110404.0,Accounting & Finance,11.0,101,CollegeVine,2022
123961.0,Accounting & Finance,11.0,251,"CollegeVine, Niche, QS",2022
193900.0,Accounting & Finance,11.0,301,QS,2025
164739.0,Accounting & Finance,12.0,75,Niche,2022
190150.0,Accounting & Finance,12.0,301,QS,2025
134130.0,Accounting & Finance,13.0,251,"Niche, QS",2022
145637.0,Accounting & Finance,14.0,251,"CollegeVine, Niche, QS",2022
110662.0,Accounting & Finance,14.0,301,QS,2025
147767.0,Accounting & Finance,15.0,251,"CollegeVine, QS",2022
204796.0,Accounting & Finance,15.0,251,"CollegeVine, Niche, QS",2022
110662.0,Accounting & Finance,16.0,251,"CollegeVine, QS",2022
160755.0,Accounting & Finance,16.0,101,"CollegeVine, Niche",2022
217156.0,Accounting & Finance,16.0,101,CollegeVine,2022
182670.0,Accounting & Finance,17.0,101,CollegeVine,2022
228246.0,Accounting & Finance,17.0,101,"CollegeVine, Niche",2022
135726.0,Accounting & Finance,18.0,101,"CollegeVine, Niche",2022
211440.0,Accounting & Finance,18.0,251,"CollegeVine, QS",2022
495767.0,Accounting & Finance,19.0,251,"CollegeVine, Niche, QS",2022
199120.0,Accounting & Finance,20.0,251,"CollegeVine, QS",2022
213543.0,Accounting & Finance,20.0,101,"CollegeVine, Niche",2022
199847.0,Accounting & Finance,21.0,101,"CollegeVine, Niche",2022
240444.0,Accounting & Finance,21.0,251,"CollegeVine, Niche, QS",2022
234076.0,Accounting & Finance,23.0,251,"CollegeVine, QS",2022
234207.0,Accounting & Finance,23.0,101,"CollegeVine, Niche",2022
122931.0,Accounting & Finance,24.0,101,"CollegeVine, Niche",2022
122436.0,Accounting & Finance,25.0,101,"CollegeVine, Niche",2022
162928.0,Accounting & Finance,25.0,251,"CollegeVine, QS",2022
147767.0,Accounting & Finance,25.0,301,QS,2025
170976.0,Accounting & Finance,26.0,251,"CollegeVine, QS",2022
228723.0,Accounting & Finance,26.0,251,"Niche, QS",2022
186131.0,Accounting & Finance,26.0,301,QS,2025
190512.0,Accounting & Finance,27.0,101,"CollegeVine, Niche",2022
228875.0,Accounting & Finance,28.0,75,Niche,2022
112260.0,Accounting & Finance,29.0,101,"CollegeVine, Niche",2022
139755.0,Accounting & Finance,29.0,251,"CollegeVine, QS",2022
174066.0,Accounting & Finance,30.0,251,"CollegeVine, Niche, QS",2022
228778.0,Accounting & Finance,30.0,301,QS,2025
139658.0,Accounting & Finance,31.0,251,"CollegeVine, Niche, QS",2022
223232.0,Accounting & Finance,31.0,101,"CollegeVine, Niche",2022
170976.0,Accounting & Finance,31.0,301,QS,2025
190415.0,Accounting & Finance,32.0,301,QS,2025
221999.0,Accounting & Finance,33.0,101,CollegeVine,2022
195030.0,Accounting & Finance,34.0,251,"CollegeVine, QS",2022
201645.0,Accounting & Finance,34.0,251,"CollegeVine, Niche, QS",2022
163286.0,Accounting & Finance,35.0,251,"CollegeVine, Niche, QS",2022
168218.0,Accounting & Finance,35.0,101,CollegeVine,2022
100751.0,Accounting & Finance,36.0,75,Niche,2022
168342.0,Accounting & Finance,36.0,101,CollegeVine,2022
164465.0,Accounting & Finance,37.0,101,CollegeVine,2022
